Ensembl	C13	C14	C17	C19	C20	C21	C22	C23	Ds11	Ds12	Ds13	Ds15	Ds16	Ds17	Ds18	Ds19
ENSG00000102387	0.830115584	1.820034614	0.603752634	1.424026552	1.576913124	1.075783842	1.226904976	0.807989427	0.742193851	1.433157085	1.082937312	0.881340721	2.090255233	1.035585848	0.519055678	2.258857951
ENSG00000126953	9.500211688	8.444960611	6.531505772	7.847968552	7.358927912	8.194941622	6.875779969	8.628172809	3.197142743	6.738887572	7.054563063	5.488349033	7.243815548	4.660136317	4.210118275	6.88951675
ENSG00000010671	2.951522078	3.640069229	2.497340442	1.708831862	1.521582839	1.01250244	2.402688911	1.067700314	3.76806109	3.720109881	3.898574324	1.682559558	6.306804581	2.653688736	3.345025478	2.447096113
ENSG00000241343	2.075288961	5.24169969	1.591711491	1.740476897	2.157881117	2.594537502	1.686994342	1.644835619	0.570918347	1.646606013	1.392347973	1.362072023	1.153244266	2.330068159	1.672512739	1.05413371
ENSG00000102393	2.444229221	1.528829076	4.089051933	3.227793517	3.07083082	4.303135369	3.85963857	3.635952421	2.112397884	3.567646362	2.784695946	1.922925209	3.027266199	2.524240505	3.114334066	2.334153216
ENSG00000126945	196.5990409	191.1036345	155.3016436	127.3396188	133.0416704	112.1346452	139.9438488	124.8632232	31.05795807	115.2929136	116.0599388	72.4702438	93.01635785	34.6274018	38.75615727	73.4128834
ENSG00000196440	89.0529552	85.25042134	61.74742852	72.21396869	70.15880145	68.7552438	65.07708476	67.61140098	54.75106947	69.15745255	73.79444257	66.42104158	63.5365513	51.39094772	59.57605723	73.26229287
ENSG00000126947	27.25546169	17.98194199	25.16550753	27.08814952	25.81157798	26.70475185	27.86096716	26.43279697	12.61729547	24.79056831	24.81473498	18.62833796	24.36228513	14.69237422	12.51500912	21.12032184
ENSG00000198960	3.73552013	2.111240153	4.692804568	4.145499517	4.149771379	3.986728357	4.703135741	3.46281183	3.197142743	4.390949368	4.362690315	3.565423824	5.261676965	3.948171046	4.844519658	5.195373287
ENSG00000102401	174.4626253	174.2865147	139.3570853	145.7570288	154.6758119	147.3823864	160.1366599	147.8332084	45.61637592	122.2757428	124.8781426	71.86932968	102.9630897	44.27129501	61.59460708	79.85062856
ENSG00000184867	53.63469026	46.52008474	70.1725221	57.02435214	67.80726433	59.57944044	69.7802205	65.93770859	39.05081493	62.47955038	57.79791141	41.90374517	56.43689128	26.60161148	26.70253097	56.88557273
ENSG00000166432	109.390787	146.6947899	56.78019094	42.84737669	57.43283588	38.60165552	40.87127201	43.45828846	72.84918107	54.0940568	64.91435661	81.8445042	64.11317343	36.95746996	107.6175438	64.4903945
ENSG00000184905	264.5301662	306.7122332	211.2310921	171.611022	190.6681623	150.70466	197.9406694	173.1405915	61.5449978	152.646476	170.0520991	86.17108592	126.5325193	34.10960888	29.35548222	111.0228683
ENSG00000204071	93.34188572	99.51949272	94.98126672	61.83439738	74.00425626	68.88180661	86.16451403	76.70128203	30.20158055	71.8713032	74.72267455	50.6370305	52.04014752	14.82182245	12.45733626	55.86908665
ENSG00000184515	74.7104026	64.72043089	53.10278853	46.96123117	57.32217531	57.58607627	59.27484664	56.81897078	11.13290777	39.30509539	36.97457395	21.87327425	28.90318442	4.919032779	4.152445421	36.55585117
ENSG00000125962	26.51758117	30.50378014	14.62727973	21.32875324	17.29071408	18.76293584	17.0999881	16.13093177	3.996428429	15.33783008	13.89253866	11.49749031	11.96490926	6.213515089	8.189545137	13.6660906
ENSG00000198932	427.8784662	380.4600358	379.7055204	357.5255996	404.2983929	358.1094567	421.876388	406.2166844	275.5822861	355.6364061	349.6031055	260.7166095	284.3828283	121.0988201	113.3848291	415.8557488
ENSG00000158301	101.8275117	60.86195751	117.5122173	94.46042794	109.0559918	104.2877513	127.9304042	117.3604643	24.37821341	103.2482956	100.71317	48.87434905	72.97873873	18.96416585	13.78381189	72.28345443
ENSG00000198908	0.645645455	0.218404154	0.960515555	1.487316621	1.189601129	1.202346647	1.431389138	1.356267967	2.454948892	1.768576829	1.701758634	1.041584488	1.261360916	1.29448231	1.326475621	1.091781343
ENSG00000102128	0.968468182	2.839253999	1.097732063	1.455671586	1.327926841	1.297268751	0.996860293	1.442838262	1.94112238	1.097737342	1.268583709	2.363595569	1.874021933	1.812275234	1.730185592	1.995324523
ENSG00000133169	283.2077669	243.44783	214.9359379	201.7054498	207.9865415	201.7411111	213.2258606	185.0295788	59.14714074	172.7411679	153.3439234	88.77504714	122.5682422	21.22950989	27.2792595	111.662878
ENSG00000102409	283.7611773	275.7716448	278.7690573	213.4141126	247.8243467	198.893448	246.8635053	207.9707071	48.81351866	200.641992	193.2578986	106.2015568	148.3720826	28.21971436	72.78314058	140.9150885
